lat,lon
40,-4
29.6997,-95.5858
42.3646,-71.1028
39,22
42.3646,-71.1028
37.57,126.98
35.8703,128.5911
38,-97
39.9289,116.3883
34.0438,-118.2512
35.1928,128.0847
49.2328,28.481
40,-4
37.5985,126.9783
41.1271,-73.4416
40.7042,-3.1232
51.5,-0.129999999999995
39.8161,109.9776
35.69,139.69
37.57,126.98
52,20
23.1167,113.25
35,105
34.1359,-117.1553
42.3646,-71.1028
49,32
52.0186,4.37819999999999
52.35,4.91669999999999
37.57,126.98
37.57,126.98
48.4278,-123.3574
23.1167,113.25
38,-97
29.6237,-95.6322
37.57,126.98
23.5,121
47.6689,-117.4369
30.2143,-90.9402
42.3016,-83.0307
37.57,126.98
38,-97
34.0438,-118.2512
47.7904,-99.7938
59.8667,17.6333
37.57,126.98
42.38,-71.1329
38.2542,-85.7594
35,105
42.2734,-83.7133
41.1412,-73.2637
51.5,-0.129999999999995
32.9672,-117.2586
37.57,126.98
42.2734,-83.7133
40.5525,-74.2915
37.5985,126.9783
37.57,126.98
41.1271,-73.4416
37.57,126.98
36.6683,116.9972
37.57,126.98
34.6836,113.5325
34.0438,-118.2512
35,105
37.5985,126.9783
41.1271,-73.4416
51.5,-0.129999999999995
39.9289,116.3883
42.7526,-73.7804
-34.1045,18.4683
-22.9,-43.2333
20,77
37.57,126.98
45.399,-75.7304
41.8333,22
33.6748,-111.9519
37.57,126.98
-27,133
37.7697,-122.3933
37.3394,-121.895
44,21
52.5,5.75
37.1834,-113.5999
50.0833,14.4667
37.5985,126.9783
52.35,4.91669999999999
35.69,139.69
37.5985,126.9783
38.864,-77.1922
31.78,35.23
38,-97
37.57,126.98
42.6849,-73.8318
-29,24
37.57,126.98
37.57,126.98
35.69,139.69
23.1167,113.25
37.57,126.98
47.4815,8.203
-10,-55
39.9289,116.3883
29.6997,-95.5858
37.57,126.98
42.8333,12.8333
38,-97
58.75,17
35.685,139.7514
29.6997,-95.5858
47.8,9.16669999999999
49.75,15.5
50.7967,-1.08330000000001
35.8703,128.5911
37.57,126.98
37.57,126.98
37.57,126.98
37.5985,126.9783
60,100
34.0438,-118.2512
41.3774,-104.7639
42.2734,-83.7133
42.2734,-83.7133
35.69,139.69
52,20
29.6997,-95.5858
43,25
-25.7259,28.3137
41.1412,-73.2637
46,25
37.5985,126.9783
37.57,126.98
37.5985,126.9783
42.8333,12.8333
55.7,13.1833
51,9
59.8944,30.2642
51,9
29.6997,-95.5858
38,-97
-34.1045,18.4683
23.1167,113.25
37.57,126.98
37.57,126.98
42.4072,-76.5159
45.6403,0.755099999999999
51,9
37.57,126.98
39.7795,-86.1328
37.57,126.98
42.3646,-71.1028
37.57,126.98
29.6997,-95.5858
51,9
37.57,126.98
60,100
42.2734,-83.7133
37.5985,126.9783
35.69,139.69
37.57,126.98
-10,-55
37.57,126.98
64,26
29.6997,-95.5858
37.5985,126.9783
38,-97
38,-97
41.538,-96.1944
37.5985,126.9783
37.5985,126.9783
37.57,126.98
22.25,114.1667
12.9833,77.5833
47.6319,-122.2968
37.5155,-121.8962
21.0333,105.85
37.57,126.98
40,-4
37.57,126.98
29.6997,-95.5858
29.6997,-95.5858
52.35,4.91669999999999
37.57,126.98
-39.8,-73.2333
-10,-55
35,105
37.57,126.98
37.4906,127.02
37.57,126.98
37.57,126.98
39,35
-23.4733,-46.6658
40,-4
35,105
-10,-55
29.6997,-95.5858
37.57,126.98
51.5,-0.129999999999995
50.8333,4
37.57,126.98
46.3067,-94.1008
-34.1045,18.4683
43.88,125.3228
37.57,126.98
29.6997,-95.5858
41.1412,-73.2637
37.57,126.98
35.0757,-106.6406
50.2584,19.0275
-34.1045,18.4683
37.57,126.98
37.5985,126.9783
37.57,126.98
42.3626,-71.0843
37.5985,126.9783
50.65,13.2833
42.2734,-83.7133
32.0942,34.9458
37.9833,23.7333
51,9
45.4667,9.19999999999999
37.57,126.98
38,-97
29.6997,-95.5858
35.685,139.7514
37.57,126.98
-39.8,-73.2333
39.5645,-75.597
29.6997,-95.5858
52,20
47.9785,-1.71680000000001
35.69,139.69
32.0617,118.7778
30.6667,104.0667
37.57,126.98
45.7046,-123.8618
37.57,126.98
37.57,126.98
42.2734,-83.7133
37.6528,-101.316
49,32
37.57,126.98
29.6997,-95.5858
60,100
31.5,34.75
35.69,139.69
60,100
52.3107,4.8768
51.5,-0.129999999999995
37.57,126.98
35.69,139.69
-34.1045,18.4683
-34.1045,18.4683
21.0333,105.85
-10,-55
37.5985,126.9783
-34.1045,18.4683
37.5985,126.9783
38,-97
39.9289,116.3883
-34.8581,-56.1708
41.1412,-73.2637
37.57,126.98
45.399,-75.7304
37.57,126.98
37.57,126.98
37.57,126.98
40.5525,-74.2915
37.57,126.98
37.57,126.98
52.5,5.75
37.57,126.98
51.5,-0.129999999999995
19.43,-99.13
52,20
37.57,126.98
36.6683,116.9972
34.2287,-118.4441
-10,-55
37.5985,126.9783
37.5985,126.9783
49.75,15.5
37.57,126.98
37.57,126.98
37.57,126.98
37.57,126.98
32,53
47,8
39,22
50.8,5.19999999999999
41.8529,-71.4723
29.6997,-95.5858
37.57,126.98
39.162,-84.4569
51.9322,4.39269999999999
38.9311,-77.3489
37.5985,126.9783
37.57,126.98
42.8333,12.8333
48.86,2.34999999999999
38,-97
38,-97
34.9167,33.6292
30.1948,-91.0084
37.57,126.98
37.5985,126.9783
30.2936,120.1614
35.8703,128.5911
35,105
37.57,126.98
-10,-55
49.4216,26.9965
37.5985,126.9783
34.6836,113.5325
37.57,126.98
37.57,126.98
32.2942,-64.7839
29.6997,-95.5858
37.5985,126.9783
29.6997,-95.5858
32.8731,-96.7459
43.286,-77.6843
34.9104,-82.123
39.7847,-99.3117
35.685,139.7514
43.126,-94.9046
42.8333,12.8333
37.57,126.98
35.685,139.7514
22.5333,114.1333
34.6167,135.6
37.57,126.98
37.57,126.98
37.57,126.98
30.3304,-81.6516
37.57,126.98
35.685,139.7514
47.3707,-120.3593
37.4625,-122.2405
42.38,-71.1329
37.57,126.98
39.9289,116.3883
30.2936,120.1614
37.57,126.98
37.57,126.98
25.0392,121.525
37.5985,126.9783
29.6997,-95.5858
41.8745,-87.6503
28.0381,-80.6115
49.75,15.5
41.1412,-73.2637
43,25
-25.7259,28.3137
37.6775,-113.0619
29.6997,-95.5858
39.9289,116.3883
37.57,126.98
34.0438,-118.2512
37.57,126.98
37.57,126.98
